'Elapsed time','ECG'
'seconds','mV'
0.000,0.185
0.001,0.185
0.003,0.169
0.004,0.185
0.006,0.185
0.007,0.185
0.008,0.185
0.010,0.185
0.011,0.185
0.013,0.200
0.014,0.200
0.015,0.192
0.017,0.200
0.018,0.192
0.019,0.192
0.021,0.208
0.022,0.215
0.024,0.208
0.025,0.215
0.026,0.215
0.028,0.200
0.029,0.208
0.031,0.208
0.032,0.208
0.033,0.208
0.035,0.200
0.036,0.192
0.037,0.192
0.039,0.208
0.040,0.208
0.042,0.192
0.043,0.215
0.044,0.223
0.046,0.223
0.047,0.223
0.049,0.223
0.050,0.231
0.051,0.231
0.053,0.223
0.054,0.231
0.056,0.231
0.057,0.231
0.058,0.223
0.060,0.231
0.061,0.215
0.062,0.223
0.064,0.231
0.065,0.223
0.067,0.223
0.068,0.223
0.069,0.223
0.071,0.223
0.072,0.223
0.074,0.215
0.075,0.215
0.076,0.215
0.078,0.223
0.079,0.223
0.081,0.215
0.082,0.215
0.083,0.208
0.085,0.208
0.086,0.223
0.087,0.215
0.089,0.208
0.090,0.223
0.092,0.215
0.093,0.208
0.094,0.223
0.096,0.223
0.097,0.215
0.099,0.208
0.100,0.223
0.101,0.223
0.103,0.215
0.104,0.223
0.106,0.215
0.107,0.208
0.108,0.215
0.110,0.223
0.111,0.223
0.113,0.215
0.114,0.223
0.115,0.223
0.117,0.223
0.118,0.223
0.119,0.215
0.121,0.231
0.122,0.223
0.124,0.231
0.125,0.223
0.126,0.231
0.128,0.231
0.129,0.223
0.131,0.223
0.132,0.238
0.133,0.246
0.135,0.231
0.136,0.231
0.138,0.238
0.139,0.231
0.140,0.231
0.142,0.231
0.143,0.223
0.144,0.215
0.146,0.215
0.147,0.215
0.149,0.223
0.150,0.231
0.151,0.223
0.153,0.223
0.154,0.231
0.156,0.246
0.157,0.238
0.158,0.246
0.160,0.262
0.161,0.246
0.163,0.246
0.164,0.254
0.165,0.246
0.167,0.238
0.168,0.238
0.169,0.231
0.171,0.223
0.172,0.223
0.174,0.223
0.175,0.215
0.176,0.215
0.178,0.215
0.179,0.223
0.181,0.231
0.182,0.231
0.183,0.254
0.185,0.262
0.186,0.277
0.188,0.277
0.189,0.269
0.190,0.277
0.192,0.262
0.193,0.262
0.194,0.262
0.196,0.269
0.197,0.277
0.199,0.285
0.200,0.262
0.201,0.254
0.203,0.254
0.204,0.262
0.206,0.246
0.207,0.262
0.208,0.277
0.210,0.262
0.211,0.262
0.212,0.277
0.214,0.277
0.215,0.277
0.217,0.277
0.218,0.277
0.219,0.285
0.221,0.292
0.222,0.292
0.224,0.292
0.225,0.300
0.226,0.285
0.228,0.285
0.229,0.292
0.231,0.308
0.232,0.323
0.233,0.315
0.235,0.300
0.236,0.285
0.237,0.300
0.239,0.308
0.240,0.300
0.242,0.300
0.243,0.285
0.244,0.277
0.246,0.285
0.247,0.292
0.249,0.285
0.250,0.300
0.251,0.285
0.253,0.292
0.254,0.308
0.256,0.315
0.257,0.315
0.258,0.308
0.260,0.308
0.261,0.308
0.263,0.323
0.264,0.308
0.265,0.300
0.267,0.300
0.268,0.300
0.269,0.292
0.271,0.308
0.272,0.308
0.274,0.277
0.275,0.277
0.276,0.285
0.278,0.277
0.279,0.277
0.281,0.277
0.282,0.262
0.283,0.269
0.285,0.262
0.286,0.254
0.287,0.262
0.289,0.269
0.290,0.254
0.292,0.262
0.293,0.246
0.294,0.231
0.296,0.238
0.297,0.231
0.299,0.223
0.300,0.231
0.301,0.238
0.303,0.223
0.304,0.223
0.306,0.231
0.307,0.223
0.308,0.208
0.310,0.208
0.311,0.200
0.312,0.200
0.314,0.192
0.315,0.185
0.317,0.192
0.318,0.192
0.319,0.192
0.321,0.200
0.322,0.192
0.324,0.192
0.325,0.185
0.326,0.185
0.328,0.177
0.329,0.185
0.331,0.200
0.332,0.192
0.333,0.208
0.335,0.223
0.336,0.208
0.338,0.223
0.339,0.231
0.340,0.223
0.342,0.223
0.343,0.231
0.344,0.223
0.346,0.223
0.347,0.238
0.349,0.238
0.350,0.231
0.351,0.246
0.353,0.262
0.354,0.246
0.356,0.254
0.357,0.246
0.358,0.246
0.360,0.254
0.361,0.269
0.362,0.277
0.364,0.292
0.365,0.308
0.367,0.323
0.368,0.338
0.369,0.354
0.371,0.392
0.372,0.392
0.374,0.400
0.375,0.431
0.376,0.462
0.378,0.469
0.379,0.492
0.381,0.515
0.382,0.531
0.383,0.554
0.385,0.585
0.386,0.577
0.388,0.577
0.389,0.569
0.390,0.554
0.392,0.554
0.393,0.569
0.394,0.554
0.396,0.531
0.397,0.531
0.399,0.508
0.400,0.462
0.401,0.438
0.403,0.438
0.404,0.415
0.406,0.392
0.407,0.385
0.408,0.377
0.410,0.369
0.411,0.369
0.412,0.362
0.414,0.354
0.415,0.354
0.417,0.346
0.418,0.331
0.419,0.354
0.421,0.354
0.422,0.331
0.424,0.331
0.425,0.338
0.426,0.331
0.428,0.315
0.429,0.315
0.431,0.315
0.432,0.323
0.433,0.331
0.435,0.308
0.436,0.300
0.438,0.300
0.439,0.292
0.440,0.285
0.442,0.277
0.443,0.277
0.444,0.262
0.446,0.254
0.447,0.238
0.449,0.246
0.450,0.238
0.451,0.238
0.453,0.246
0.454,0.238
0.456,0.231
0.457,0.238
0.458,0.238
0.460,0.231
0.461,0.223
0.463,0.223
0.464,0.223
0.465,0.215
0.467,0.215
0.468,0.215
0.469,0.223
0.471,0.215
0.472,0.215
0.474,0.223
0.475,0.223
0.476,0.223
0.478,0.223
0.479,0.223
0.481,0.223
0.482,0.215
0.483,0.231
0.485,0.215
0.486,0.215
0.487,0.215
0.489,0.223
0.490,0.215
0.492,0.215
0.493,0.208
0.494,0.215
0.496,0.223
0.497,0.208
0.499,0.208
0.500,0.208
0.501,0.192
0.503,0.200
0.504,0.200
0.506,0.192
0.507,0.200
0.508,0.208
0.510,0.208
0.511,0.208
0.512,0.223
0.514,0.223
0.515,0.208
0.517,0.223
0.518,0.223
0.519,0.223
0.521,0.223
0.522,0.223
0.524,0.223
0.525,0.223
0.526,0.215
0.528,0.215
0.529,0.215
0.531,0.215
0.532,0.215
0.533,0.215
0.535,0.215
0.536,0.208
0.537,0.208
0.539,0.208
0.540,0.208
0.542,0.208
0.543,0.208
0.544,0.208
0.546,0.215
0.547,0.208
0.549,0.208
0.550,0.215
0.551,0.215
0.553,0.200
0.554,0.208
0.556,0.215
0.557,0.208
0.558,0.185
0.560,0.192
0.561,0.177
0.562,0.162
0.564,0.177
0.565,0.177
0.567,0.177
0.568,0.169
0.569,0.169
0.571,0.177
0.572,0.169
0.574,0.169
0.575,0.169
0.576,0.162
0.578,0.162
0.579,0.146
0.581,0.162
0.582,0.162
0.583,0.154
0.585,0.154
0.586,0.169
0.588,0.162
0.589,0.146
0.590,0.169
0.592,0.177
0.593,0.162
0.594,0.154
0.596,0.162
0.597,0.162
0.599,0.169
0.600,0.162
0.601,0.154
0.603,0.162
0.604,0.177
0.606,0.169
0.607,0.162
0.608,0.162
0.610,0.162
0.611,0.154
0.613,0.154
0.614,0.169
0.615,0.169
0.617,0.154
0.618,0.154
0.619,0.162
0.621,0.154
0.622,0.138
0.624,0.146
0.625,0.146
0.626,0.138
0.628,0.138
0.629,0.138
0.631,0.131
0.632,0.123
0.633,0.123
0.635,0.115
0.636,0.115
0.637,0.131
0.639,0.123
0.640,0.123
0.642,0.131
0.643,0.123
0.644,0.100
0.646,0.100
0.647,0.092
0.649,0.092
0.650,0.100
0.651,0.092
0.653,0.092
0.654,0.085
0.656,0.085
0.657,0.085
0.658,0.092
0.660,0.100
0.661,0.100
0.662,0.100
0.664,0.100
0.665,0.108
0.667,0.092
0.668,0.115
0.669,0.131
0.671,0.123
0.672,0.123
0.674,0.115
0.675,0.123
0.676,0.115
0.678,0.123
0.679,0.123
0.681,0.123
0.682,0.123
0.683,0.138
0.685,0.123
0.686,0.138
0.688,0.146
0.689,0.146
0.690,0.138
0.692,0.146
0.693,0.154
0.694,0.146
0.696,0.154
0.697,0.154
0.699,0.154
0.700,0.162
0.701,0.162
0.703,0.162
0.704,0.177
0.706,0.177
0.707,0.185
0.708,0.185
0.710,0.192
0.711,0.185
0.713,0.185
0.714,0.177
0.715,0.185
0.717,0.185
0.718,0.200
0.719,0.200
0.721,0.208
0.722,0.208
0.724,0.208
0.725,0.215
0.726,0.223
0.728,0.215
0.729,0.223
0.731,0.223
0.732,0.215
0.733,0.215
0.735,0.223
0.736,0.223
0.738,0.223
0.739,0.231
0.740,0.238
0.742,0.231
0.743,0.223
0.744,0.238
0.746,0.238
0.747,0.246
0.749,0.246
0.750,0.238
0.751,0.238
0.753,0.231
0.754,0.238
0.756,0.238
0.757,0.231
0.758,0.238
0.760,0.231
0.761,0.231
0.762,0.238
0.764,0.223
0.765,0.231
0.767,0.231
0.768,0.223
0.769,0.223
0.771,0.231
0.772,0.223
0.774,0.223
0.775,0.231
0.776,0.231
0.778,0.215
0.779,0.215
0.781,0.223
0.782,0.231
0.783,0.223
0.785,0.231
0.786,0.231
0.787,0.223
0.789,0.223
0.790,0.223
0.792,0.223
0.793,0.208
0.794,0.208
0.796,0.208
0.797,0.215
0.799,0.215
0.800,0.208
0.801,0.208
0.803,0.223
0.804,0.215
0.806,0.208
0.807,0.208
0.808,0.223
0.810,0.231
0.811,0.238
0.812,0.238
0.814,0.238
0.815,0.246
0.817,0.231
0.818,0.223
0.819,0.215
0.821,0.223
0.822,0.208
0.824,0.208
0.825,0.215
0.826,0.215
0.828,0.215
0.829,0.223
0.831,0.223
0.832,0.215
0.833,0.223
0.835,0.223
0.836,0.208
0.838,0.223
0.839,0.238
0.840,0.231
0.842,0.223
0.843,0.215
0.844,0.223
0.846,0.223
0.847,0.215
0.849,0.215
0.850,0.215
0.851,0.215
0.853,0.208
0.854,0.208
0.856,0.215
0.857,0.200
0.858,0.200
0.860,0.200
0.861,0.192
0.863,0.200
0.864,0.200
0.865,0.192
0.867,0.192
0.868,0.200
0.869,0.200
0.871,0.200
0.872,0.208
0.874,0.208
0.875,0.200
0.876,0.200
0.878,0.200
0.879,0.192
0.881,0.200
0.882,0.200
0.883,0.208
0.885,0.215
0.886,0.231
0.887,0.238
0.889,0.269
0.890,0.285
0.892,0.285
0.893,0.308
0.894,0.323
0.896,0.338
0.897,0.331
0.899,0.338
0.900,0.338
0.901,0.346
0.903,0.354
0.904,0.346
0.906,0.331
0.907,0.315
0.908,0.292
0.910,0.269
0.911,0.238
0.912,0.223
0.914,0.208
0.915,0.185
0.917,0.146
0.918,0.092
0.919,0.054
0.921,0.008
0.922,-0.023
0.924,-0.062
0.925,-0.115
0.926,-0.177
0.928,-0.231
0.929,-0.300
0.931,-0.362
0.932,-0.423
0.933,-0.477
0.935,-0.515
0.936,-0.515
0.938,-0.492
0.939,-0.469
0.940,-0.477
0.942,-0.462
0.943,-0.438
0.944,-0.431
0.946,-0.415
0.947,-0.369
0.949,-0.346
0.950,-0.331
0.951,-0.308
0.953,-0.269
0.954,-0.238
0.956,-0.200
0.957,-0.154
0.958,-0.108
0.960,-0.069
0.961,-0.031
0.963,0.023
0.964,0.069
0.965,0.092
0.967,0.108
0.968,0.108
0.969,0.115
0.971,0.138
0.972,0.154
0.974,0.162
0.975,0.162
0.976,0.169
0.978,0.177
0.979,0.177
0.981,0.192
0.982,0.200
0.983,0.208
0.985,0.208
0.986,0.215
0.988,0.223
0.989,0.215
0.990,0.215
0.992,0.215
0.993,0.215
0.994,0.215
0.996,0.223
0.997,0.223
0.999,0.223
1.000,0.231
1.001,0.231
1.003,0.238
1.004,0.238
1.006,0.246
1.007,0.246
1.008,0.238
1.010,0.231
1.011,0.246
1.012,0.238
1.014,0.238
1.015,0.238
1.017,0.238
1.018,0.238
1.019,0.262
1.021,0.269
1.022,0.262
1.024,0.269
1.025,0.269
1.026,0.277
1.028,0.269
1.029,0.277
1.031,0.277
1.032,0.285
1.033,0.277
1.035,0.269
1.036,0.277
1.038,0.285
1.039,0.277
1.040,0.277
1.042,0.285
1.043,0.277
1.044,0.269
1.046,0.277
1.047,0.285
1.049,0.285
1.050,0.300
1.051,0.300
1.053,0.308
1.054,0.308
1.056,0.308
1.057,0.308
1.058,0.308
1.060,0.300
1.061,0.300
1.062,0.300
1.064,0.300
1.065,0.292
1.067,0.300
1.068,0.300
1.069,0.300
1.071,0.300
1.072,0.300
1.074,0.300
1.075,0.292
1.076,0.277
1.078,0.300
1.079,0.300
1.081,0.292
1.082,0.300
1.083,0.292
1.085,0.300
1.086,0.300
1.087,0.292
1.089,0.308
1.090,0.331
1.092,0.331
1.093,0.323
1.094,0.331
1.096,0.323
1.097,0.308
1.099,0.323
1.100,0.323
1.101,0.308
1.103,0.300
1.104,0.300
1.106,0.308
1.107,0.315
1.108,0.315
1.110,0.315
1.111,0.323
1.113,0.331
1.114,0.338
1.115,0.338
1.117,0.346
1.118,0.354
1.119,0.369
1.121,0.377
1.122,0.385
1.124,0.369
1.125,0.377
1.126,0.385
1.128,0.392
1.129,0.385
1.131,0.385
1.132,0.377
1.133,0.392
1.135,0.400
1.136,0.392
1.137,0.392
1.139,0.392
1.140,0.400
1.142,0.400
1.143,0.400
1.144,0.415
1.146,0.423
1.147,0.423
1.149,0.423
1.150,0.423
1.151,0.431
1.153,0.431
1.154,0.446
1.156,0.454
1.157,0.446
1.158,0.446
1.160,0.454
1.161,0.446
1.163,0.446
1.164,0.446
1.165,0.454
1.167,0.454
1.168,0.454
1.169,0.462
1.171,0.462
1.172,0.462
1.174,0.477
1.175,0.469
1.176,0.469
1.178,0.469
1.179,0.462
1.181,0.462
1.182,0.469
1.183,0.462
1.185,0.462
1.186,0.462
1.188,0.469
1.189,0.446
1.190,0.454
1.192,0.469
1.193,0.462
1.194,0.454
1.196,0.446
1.197,0.438
1.199,0.431
1.200,0.423
1.201,0.415
1.203,0.408
1.204,0.415
1.206,0.408
1.207,0.408
1.208,0.400
1.210,0.400
1.211,0.400
1.212,0.400
1.214,0.385
1.215,0.377
1.217,0.385
1.218,0.369
1.219,0.354
1.221,0.369
1.222,0.362
1.224,0.362
1.225,0.354
1.226,0.338
1.228,0.331
1.229,0.331
1.231,0.323
1.232,0.315
1.233,0.315
1.235,0.308
1.236,0.300
1.238,0.300
1.239,0.292
1.240,0.285
1.242,0.277
1.243,0.269
1.244,0.269
1.246,0.262
1.247,0.269
1.249,0.254
1.250,0.238
1.251,0.238
1.253,0.246
1.254,0.231
1.256,0.231
1.257,0.231
1.258,0.238
1.260,0.231
1.261,0.215
1.262,0.215
1.264,0.223
1.265,0.215
1.267,0.208
1.268,0.215
1.269,0.223
1.271,0.215
1.272,0.215
1.274,0.223
1.275,0.223
1.276,0.238
1.278,0.238
1.279,0.238
1.281,0.223
1.282,0.223
1.283,0.223
1.285,0.231
1.286,0.215
1.288,0.208
1.289,0.208
1.290,0.208
1.292,0.208
1.293,0.208
1.294,0.200
1.296,0.192
1.297,0.200
1.299,0.200
1.300,0.208
1.301,0.208
1.303,0.215
1.304,0.215
1.306,0.215
1.307,0.223
1.308,0.223
1.310,0.223
1.311,0.215
1.312,0.223
1.314,0.231
1.315,0.238
1.317,0.231
1.318,0.223
1.319,0.223
1.321,0.223
1.322,0.246
1.324,0.238
1.325,0.238
1.326,0.238
1.328,0.231
1.329,0.223
1.331,0.231
1.332,0.223
1.333,0.223
1.335,0.231
1.336,0.238
1.337,0.215
1.339,0.215
1.340,0.208
1.342,0.215
1.343,0.208
1.344,0.200
1.346,0.192
1.347,0.192
1.349,0.200
1.350,0.200
1.351,0.200
1.353,0.200
1.354,0.208
1.356,0.208
1.357,0.215
1.358,0.208
1.360,0.208
1.361,0.215
1.363,0.223
1.364,0.231
1.365,0.215
1.367,0.215
1.368,0.231
1.369,0.223
1.371,0.200
1.372,0.208
1.374,0.215
1.375,0.200
1.376,0.200
1.378,0.200
1.379,0.192
1.381,0.177
1.382,0.177
1.383,0.185
1.385,0.177
1.386,0.177
1.387,0.177
1.389,0.177
1.390,0.185
1.392,0.192
1.393,0.185
1.394,0.185
1.396,0.185
1.397,0.185
1.399,0.177
1.400,0.185
1.401,0.192
1.403,0.192
1.404,0.185
1.406,0.185
1.407,0.185
1.408,0.185
1.410,0.185
1.411,0.185
1.413,0.185
1.414,0.185
1.415,0.185
1.417,0.192
1.418,0.200
1.419,0.200
1.421,0.200
1.422,0.208
1.424,0.200
1.425,0.192
1.426,0.185
1.428,0.192
1.429,0.192
1.431,0.177
1.432,0.192
1.433,0.192
1.435,0.185
1.436,0.185
1.438,0.192
1.439,0.192
1.440,0.177
1.442,0.169
1.443,0.169
1.444,0.185
1.446,0.185
1.447,0.177
1.449,0.177
1.450,0.185
1.451,0.185
1.453,0.177
1.454,0.185
1.456,0.185
1.457,0.185
1.458,0.185
1.460,0.192
1.461,0.185
1.462,0.185
1.464,0.192
1.465,0.185
1.467,0.185
1.468,0.185
1.469,0.185
1.471,0.185
1.472,0.177
1.474,0.185
1.475,0.185
1.476,0.185
1.478,0.177
1.479,0.185
1.481,0.192
1.482,0.185
1.483,0.185
1.485,0.192
1.486,0.185
1.488,0.177
1.489,0.177
1.490,0.177
1.492,0.169
1.493,0.162
1.494,0.177
1.496,0.177
1.497,0.169
1.499,0.162
1.500,0.177
1.501,0.177
1.503,0.185
1.504,0.185
1.506,0.185
1.507,0.185
1.508,0.192
1.510,0.200
1.511,0.208
1.512,0.208
1.514,0.208
1.515,0.200
1.517,0.208
1.518,0.208
1.519,0.200
1.521,0.200
1.522,0.192
1.524,0.208
1.525,0.192
1.526,0.192
1.528,0.192
1.529,0.192
1.531,0.192
1.532,0.185
1.533,0.177
1.535,0.200
1.536,0.192
1.538,0.185
1.539,0.208
1.540,0.215
1.542,0.208
1.543,0.208
1.544,0.208
1.546,0.208
1.547,0.200
1.549,0.208
1.550,0.223
1.551,0.200
1.553,0.208
1.554,0.200
1.556,0.215
1.557,0.215
1.558,0.215
1.560,0.223
1.561,0.215
1.562,0.215
1.564,0.223
1.565,0.215
1.567,0.215
1.568,0.208
1.569,0.215
1.571,0.215
1.572,0.208
1.574,0.215
1.575,0.215
1.576,0.215
1.578,0.223
1.579,0.215
1.581,0.215
1.582,0.215
1.583,0.208
1.585,0.208
1.586,0.208
1.587,0.215
1.589,0.215
1.590,0.208
1.592,0.208
1.593,0.208
1.594,0.215
1.596,0.208
1.597,0.200
1.599,0.208
1.600,0.215
1.601,0.200
1.603,0.200
1.604,0.215
1.606,0.208
1.607,0.208
1.608,0.208
1.610,0.208
1.611,0.208
1.613,0.215
1.614,0.208
1.615,0.192
1.617,0.200
1.618,0.208
1.619,0.200
1.621,0.200
1.622,0.200
1.624,0.200
1.625,0.200
1.626,0.208
1.628,0.208
1.629,0.215
1.631,0.223
1.632,0.223
1.633,0.215
1.635,0.223
1.636,0.223
1.637,0.215
1.639,0.215
1.640,0.208
1.642,0.200
1.643,0.200
1.644,0.208
1.646,0.208
1.647,0.208
1.649,0.223
1.650,0.223
1.651,0.215
1.653,0.238
1.654,0.238
1.656,0.231
1.657,0.238
1.658,0.246
1.660,0.223
1.661,0.238
1.663,0.246
1.664,0.223
1.665,0.223
1.667,0.231
1.668,0.223
1.669,0.215
1.671,0.231
1.672,0.231
1.674,0.223
1.675,0.231
1.676,0.238
1.678,0.238
1.679,0.238
1.681,0.262
1.682,0.262
1.683,0.269
1.685,0.269
1.686,0.277
1.688,0.269
1.689,0.269
1.690,0.277
1.692,0.277
1.693,0.285
1.694,0.262
1.696,0.262
1.697,0.277
1.699,0.269
1.700,0.262
1.701,0.254
1.703,0.254
1.704,0.254
1.706,0.254
1.707,0.269
1.708,0.262
1.710,0.269
1.711,0.277
1.712,0.262
1.714,0.277
1.715,0.277
1.717,0.277
1.718,0.285
1.719,0.300
1.721,0.308
1.722,0.300
1.724,0.292
1.725,0.300
1.726,0.308
1.728,0.308
1.729,0.308
1.731,0.292
1.732,0.308
1.733,0.300
1.735,0.300
1.736,0.300
1.738,0.292
1.739,0.285
1.740,0.277
1.742,0.277
1.743,0.285
1.744,0.292
1.746,0.292
1.747,0.285
1.749,0.292
1.750,0.300
1.751,0.300
1.753,0.300
1.754,0.308
1.756,0.300
1.757,0.292
1.758,0.300
1.760,0.300
1.761,0.292
1.762,0.292
1.764,0.292
1.765,0.277
1.767,0.292
1.768,0.292
1.769,0.292
1.771,0.269
1.772,0.285
1.774,0.277
1.775,0.269
1.776,0.269
1.778,0.262
1.779,0.254
1.781,0.246
1.782,0.262
1.783,0.262
1.785,0.246
1.786,0.246
1.788,0.238
1.789,0.238
1.790,0.238
1.792,0.231
1.793,0.231
1.794,0.238
1.796,0.231
1.797,0.223
1.799,0.238
1.800,0.238
1.801,0.231
1.803,0.223
1.804,0.231
1.806,0.223
1.807,0.215
1.808,0.215
1.810,0.208
1.811,0.200
1.812,0.200
1.814,0.208
1.815,0.208
1.817,0.208
1.818,0.215
1.819,0.208
1.821,0.208
1.822,0.208
1.824,0.208
1.825,0.215
1.826,0.223
1.828,0.231
1.829,0.231
1.831,0.238
1.832,0.238
1.833,0.238
1.835,0.246
1.836,0.246
1.837,0.231
1.839,0.246
1.840,0.246
1.842,0.231
1.843,0.238
1.844,0.254
1.846,0.238
1.847,0.246
1.849,0.246
1.850,0.246
1.851,0.246
1.853,0.254
1.854,0.262
1.856,0.262
1.857,0.262
1.858,0.269
1.860,0.285
1.861,0.300
1.863,0.315
1.864,0.331
1.865,0.346
1.867,0.362
1.868,0.377
1.869,0.392
1.871,0.415
1.872,0.431
1.874,0.446
1.875,0.477
1.876,0.500
1.878,0.508
1.879,0.531
1.881,0.562
1.882,0.569
1.883,0.562
1.885,0.562
1.886,0.562
1.887,0.562
1.889,0.554
1.890,0.554
1.892,0.538
1.893,0.523
1.894,0.500
1.896,0.477
1.897,0.469
1.899,0.431
1.900,0.400
1.901,0.385
1.903,0.385
1.904,0.377
1.906,0.377
1.907,0.369
1.908,0.354
1.910,0.346
1.911,0.346
1.913,0.346
1.914,0.346
1.915,0.338
1.917,0.346
1.918,0.338
1.919,0.331
1.921,0.338
1.922,0.338
1.924,0.331
1.925,0.323
1.926,0.331
1.928,0.331
1.929,0.323
1.931,0.331
1.932,0.323
1.933,0.292
1.935,0.292
1.936,0.292
1.938,0.285
1.939,0.269
1.940,0.262
1.942,0.246
1.943,0.254
1.944,0.246
1.946,0.238
1.947,0.246
1.949,0.254
1.950,0.238
1.951,0.231
1.953,0.246
1.954,0.238
1.956,0.238
1.957,0.238
1.958,0.238
1.960,0.231
1.961,0.231
1.962,0.215
1.964,0.223
1.965,0.215
1.967,0.215
1.968,0.215
1.969,0.223
1.971,0.215
1.972,0.208
1.974,0.223
1.975,0.223
1.976,0.223
1.978,0.223
1.979,0.223
1.981,0.215
1.982,0.215
1.983,0.223
1.985,0.223
1.986,0.215
1.988,0.215
1.989,0.223
1.990,0.215
1.992,0.223
1.993,0.223
1.994,0.215
1.996,0.208
